"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1257903523.040,176.063,10.495,3.82e-23,212.540,0.063,315.632599,0.000,0.000,1.000,"4WyzQALg2y","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wo3gJoEuYO/4WyzQALg2y.png",5.657
1257371046.332,217.741,11.116,3.88e-23,4002.603,0.688,7895.759277,0.000,0.000,1.000,"aicHmqb0ES","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zjWIy3MqXp/aicHmqb0ES.png",5.657
1258382219.560,269.285,10.271,3.60e-23,317.065,0.047,498.774109,0.000,0.000,1.000,"rt7iU63GzJ","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/XJGhaFE0J3/rt7iU63GzJ.png",5.657
1268781025.249,142.363,11.561,4.23e-23,207.302,0.047,326.107239,0.000,0.000,1.000,"LZXmjlQXTL","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qdNEdR0vAF/LZXmjlQXTL.png",5.657
1259252099.629,217.741,11.221,3.99e-23,3984.575,0.950,7931.814453,0.000,0.000,1.000,"fryuA8r56C","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/8cf2o1eWEc/fryuA8r56C.png",5.657
1258004850.482,333.030,10.883,4.15e-23,853.231,0.023,1571.105957,0.000,0.000,1.000,"NkIOCb68x9","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/QehyBqBd1B/NkIOCb68x9.png",5.657
1260516707.040,142.363,9.535,3.33e-23,3601.467,0.092,7093.486328,0.000,0.000,1.000,"psBHYDQLeB","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/vhJrhnO56r/psBHYDQLeB.png",5.657
1260813681.080,112.781,8.583,3.26e-23,2213.601,0.078,4259.805176,0.000,0.000,1.000,"1fIN4gmShE","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/aVR7s09LDo/1fIN4gmShE.png",5.657
1268585813.710,142.363,11.998,4.28e-23,212.540,0.047,315.632599,0.000,0.000,1.000,"OX4qL4EsJk","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/74acyWDXzn/OX4qL4EsJk.png",5.657
1260836922.190,115.113,8.494,3.11e-23,384.110,0.031,632.865112,0.000,0.000,1.000,"0uynettza9","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3tRhGa6WJ8/0uynettza9.png",5.657
1262587211.839,217.741,10.265,3.58e-23,569.572,0.023,1003.787720,0.000,0.000,1.000,"pesqHlceGu","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wAxOB1FzYd/pesqHlceGu.png",5.657
1266353983.948,176.063,11.091,3.91e-23,251.138,0.027,413.778290,0.000,0.000,1.000,"Gtp36ySMNJ","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/sBPo4lJ9Vj/Gtp36ySMNJ.png",5.657
1268844132.901,142.363,10.642,3.77e-23,846.754,0.063,1584.060181,0.000,0.000,1.000,"rAwWbjB9zJ","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/AIl1dTCNRP/rAwWbjB9zJ.png",5.657
1263861071.519,176.063,9.583,3.42e-23,1577.273,0.092,3045.099121,0.000,0.000,1.000,"5DAEVmCQD7","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/2RHG9761Gc/5DAEVmCQD7.png",5.657
1261509843.538,115.113,10.757,3.86e-23,944.569,0.098,1753.783081,0.000,0.000,1.000,"uMIqp6nwPM","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/BaWaMWpIGo/uMIqp6nwPM.png",5.657
1261191597.460,217.741,9.797,3.28e-23,460.550,0.047,811.652527,0.000,0.000,1.000,"caoSwBjBsI","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/kfzEdmvxOe/caoSwBjBsI.png",5.657
1257956900.630,411.865,11.076,4.72e-23,563.094,0.031,1016.741882,0.000,0.000,1.000,"f7ncOa45ju","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/hmeqRD7XeT/f7ncOa45ju.png",5.657
1258458065.595,176.063,11.150,3.83e-23,310.588,0.047,511.728302,0.000,0.000,1.000,"1xi5WEnXU3","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/CNlayBHW43/1xi5WEnXU3.png",5.657
1265594811.888,217.741,11.193,3.72e-23,384.110,0.031,632.865112,0.000,0.000,1.000,"STtanLWrci","L1","Blip","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mmafFApWBL/STtanLWrci.png",5.657
