"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1263222348.258,34.590,11.586,1.46e-22,828.850,0.750,1619.868286,0.000,0.000,0.999,"PBliZYBtNB","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/cTMpuhXmre/PBliZYBtNB.png",11.314
1250381349.941,32.173,10.559,1.17e-22,357.919,0.250,685.248047,0.000,0.000,0.990,"1SSV72s6Rk","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/WW8H5ccQDF/1SSV72s6Rk.png",11.314
1373296742.030,115.113,11.148,3.64e-23,442.216,0.555,848.319153,0.000,0.000,0.986,"Jh4qmiwDSg","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-07-13/1373296742.030273/Jh4qmiwDSg.png",5.657
1250240044.543,26.015,10.251,1.78e-22,3982.889,1.646,7935.187988,0.000,0.000,0.975,"TpJBqfOsxB","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ATIeYBs0v4/TpJBqfOsxB.png",22.627
1251429046.270,32.173,11.702,1.28e-22,3763.851,0.875,7497.112305,0.000,0.000,0.965,"BGzNdEPOhz","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/HzO0QgMNuV/BGzNdEPOhz.png",11.314
1250386947.797,21.559,11.991,4.33e-22,3813.042,1.000,7595.494629,0.000,0.000,0.963,"kGNVidMrLK","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/3hxp6wFtL0/kGNVidMrLK.png",11.314
1264331445.016,41.570,11.393,8.84e-23,542.151,1.000,1058.629150,0.000,0.000,0.959,"9dGyMqnBIt","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/9HmEPwbuCc/9dGyMqnBIt.png",11.314
1241443674.637,39.789,9.989,7.47e-23,3707.415,0.906,7369.086914,0.000,0.000,0.954,"fU3d5ArPbf","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Y9jL5EiHGV/fU3d5ArPbf.png",5.657
1264766921.230,32.173,11.804,1.48e-22,194.636,1.500,351.440704,0.000,0.000,0.947,"fM2mGsTwYl","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/v80d2SCjCY/fM2mGsTwYl.png",5.657
1263215755.328,39.020,11.430,1.03e-22,3560.671,0.875,7075.598145,0.000,0.000,0.940,"MrKGVbMN2B","L1","Koi_Fish","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/b04i6tXrJQ/MrKGVbMN2B.png",22.627
