"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1264390352.328,11.121,10.890,4.43e-20,1921.808,2.000,3823.615723,0.000,0.000,1.000,"2rVPFpmHwF","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zN37aAtZly/2rVPFpmHwF.png",5.657
1262460840.391,11.121,10.819,5.25e-20,3980.241,1.000,7940.482910,0.000,0.000,1.000,"3rhhl1VYiP","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/reOiDt0jzO/3rhhl1VYiP.png",5.657
1263246094.219,10.609,10.605,5.12e-20,3942.868,3.250,7865.735352,0.000,0.000,1.000,"vIzKFEdlv8","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SMuGxxIunS/vIzKFEdlv8.png",5.657
1265605715.578,11.121,10.597,3.11e-20,1499.684,2.027,2979.367188,0.000,0.000,1.000,"r3V5zZVTP8","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mmafFApWBL/r3V5zZVTP8.png",5.657
1170686325.484,13.768,10.004,2.50e-20,2646.112,7.281,5274.849609,0.000,0.000,1.000,"tY4B17JJ6k","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~scott.coughlin/O2/GravitySpy/Format/Feb152017/images/ML/Classified/tY4B17JJ6k.png",0.000
1258648254.719,10.609,10.532,4.91e-20,22.890,1.750,25.779181,0.000,0.000,1.000,"OA6AuMytFx","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gowwIIqHfU/OA6AuMytFx.png",5.657
1265597948.469,10.609,10.404,4.29e-20,2398.368,2.543,4776.735840,0.000,0.000,1.000,"MLilKmP10z","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/mmafFApWBL/MLilKmP10z.png",5.657
1241804169.891,11.121,10.387,4.39e-21,3832.841,0.375,7645.682617,0.000,0.000,1.000,"HjfuXblmUs","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/TXVu3ByxmR/HjfuXblmUs.png",11.314
1236756591.805,16.125,10.366,1.89e-21,3687.559,2.513,7367.118164,0.000,0.000,1.000,"fwKhZ2qEjp","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/X6zLkZOkwn/fwKhZ2qEjp.png",5.657
1265587688.281,10.609,10.314,4.26e-20,14.458,2.000,8.915390,0.000,0.000,1.000,"Vthemvea7w","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/BvIBPwGvoT/Vthemvea7w.png",5.657
1263590332.906,10.609,10.212,4.55e-20,2648.061,2.000,5276.122559,0.000,0.000,1.000,"eaJKfe6rgE","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qq3FHZPPrD/eaJKfe6rgE.png",5.657
1265537788.734,11.940,10.045,2.17e-20,2961.093,2.125,5902.186035,0.000,0.000,1.000,"Qq6bii3Jc6","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/os7gG070KI/Qq6bii3Jc6.png",5.657
1387110427.938,11.245,10.489,7.45e-21,3980.241,3.018,7940.482910,0.000,0.000,1.000,"l7CcjKmKPC","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-20/1387110427.9375/l7CcjKmKPC.png",11.314
1386904789.688,12.435,10.032,1.35e-20,3700.979,1.500,7381.958496,0.000,0.000,1.000,"uIN96bIWFs","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-12-18/1386904789.6875/uIN96bIWFs.png",22.627
1242247715.094,10.609,10.490,7.32e-20,3942.868,3.500,7865.735352,0.000,0.000,1.000,"266P5cZHYz","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/1XZw6ofEVF/266P5cZHYz.png",11.314
1242247715.094,10.609,10.490,7.32e-20,3942.868,3.500,7865.735352,0.000,0.000,1.000,"a8CUYLO89s","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/kn0gQAdvpz/a8CUYLO89s.png",11.314
1371562982.906,10.609,10.974,3.33e-20,3461.249,1.500,6902.498535,0.000,0.000,1.000,"rbZxV18qlD","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-23/1371562982.90625/rbZxV18qlD.png",5.657
1380031693.781,11.715,10.517,4.64e-21,19.465,2.250,18.930679,0.000,0.000,1.000,"P2fl2zyVfB","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-09-29/1380031693.78125/P2fl2zyVfB.png",11.314
1377258108.594,11.715,10.343,7.38e-21,3980.241,2.381,7940.482910,0.000,0.000,1.000,"HKcStaIhib","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-08-28/1377258108.59375/HKcStaIhib.png",11.314
1380407344.031,11.715,10.755,4.71e-21,3700.979,2.000,7381.958496,0.000,0.000,1.000,"2idEL6EJA1","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-10-03/1380407344.03125/2idEL6EJA1.png",11.314
1382368687.719,11.715,10.739,3.70e-21,19.485,2.125,18.970640,0.000,0.000,1.000,"EEoc1NkNOy","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-10-26/1382368687.71875/EEoc1NkNOy.png",11.314
1382938096.094,11.715,10.442,3.53e-21,3980.241,4.241,7940.482910,0.000,0.000,1.000,"wXRHMKSIu1","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-11-02/1382938096.09375/wXRHMKSIu1.png",11.314
1371398560.219,10.609,10.390,3.48e-20,12.647,2.000,5.294790,0.000,0.000,1.000,"fqm4YzrG4Z","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O4/2023-06-21/1371398560.21875/fqm4YzrG4Z.png",11.314
1263263867.406,10.609,10.242,4.57e-20,2483.109,0.625,4946.217285,0.000,0.000,1.000,"nga93Puk1s","L1","Low_Frequency_Burst","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/SMuGxxIunS/nga93Puk1s.png",5.657
