"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl","Q-value"
1264862629.974,1535.932,10.994,1.28e-22,4054.401,0.154,7792.164063,0.000,0.000,1.000,"jn6xccUQrw","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zfPP8xBTJK/jn6xccUQrw.png",5.657
1264856695.357,1649.471,10.983,1.16e-22,3494.980,0.670,6686.857422,0.000,0.000,1.000,"6HFe9HJsYV","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/vcidRd8BH2/6HFe9HJsYV.png",45.255
1262660625.498,393.155,10.976,4.07e-23,3759.268,0.516,7433.968262,0.000,0.000,1.000,"3oHd7t7CTR","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/QmXucufFeu/3oHd7t7CTR.png",22.627
1262396994.751,972.175,10.968,7.42e-23,2513.475,0.352,4859.553711,0.000,0.000,1.000,"XW1m3Gxjaw","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/pMKe7NS3po/XW1m3Gxjaw.png",45.255
1264250610.282,925.464,10.964,6.49e-23,3653.264,0.277,6989.891113,0.000,0.000,1.000,"98eyxlzjse","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/GD2vY608J0/98eyxlzjse.png",22.627
1235175608.173,1072.630,10.961,8.15e-23,4015.520,0.495,7869.925293,0.000,0.000,1.000,"CpeY4tX5BV","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/pre_ER14/0QtzgLe4u2/CpeY4tX5BV.png",11.314
1264113973.988,147.508,10.956,4.01e-23,3220.637,0.612,6234.251465,0.000,0.000,1.000,"uuWsXK9gMQ","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/Ifot2kGWeO/uuWsXK9gMQ.png",22.627
1263876652.248,1118.816,10.945,7.86e-23,3035.252,0.500,5753.867188,0.000,0.000,1.000,"SQCimPsczd","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/fnoE8q9sRC/SQCimPsczd.png",45.255
1264421659.014,1795.834,10.945,1.16e-22,3341.238,0.387,6515.079102,0.000,0.000,1.000,"73Ot2Fd29c","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/MAHCskKxgx/73Ot2Fd29c.png",45.255
1264164396.726,1570.104,10.938,1.02e-22,2776.136,0.191,5345.248535,0.000,0.000,1.000,"lLchzB2tvu","L1","Whistle","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/gqBO7bpN1l/lLchzB2tvu.png",45.255
