#time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1126259454 -8.371724139040836527e-18 -1.900800864152895314e-13 -3.384984558781219109e-11 -1.618319559416845067e-10 4.053982361380464728e-11 1.936473302047900623e-10
1126259454.000976562 -5.118560089667489876e-11 1.582115410903028874e-10 -1.467698289292496128e-10 -6.494806914503215012e-10 5.385698692572660207e-10 1.424434029062560114e-09
1126259454.001953125 5.117634094276013457e-11 -2.091804160442300997e-12 -4.148979770857152971e-11 -1.515629843851229452e-10 4.052356020189940011e-11 1.872293414056924732e-10
1126259454.002929688 -5.116701246726806929e-11 1.54688068127253886e-10 -1.463372062415757568e-10 -6.41038243320846135e-10 5.389111101816723703e-10 1.416343167748301823e-09
1126259454.00390625 5.115769440011685987e-11 -1.649805292380790434e-12 -3.897791117646320913e-11 -1.496083812391191259e-10 3.929057773577326884e-11 1.844297249642412595e-10
1126259454.004882812 -5.114838587394476832e-11 1.554771450473779737e-10 -1.505870428353262014e-10 -6.511167160994091319e-10 5.424442839352394685e-10 1.422543352211369516e-09
1126259454.005859375 5.113914500198823987e-11 -1.172728580911552854e-12 -3.956694173690156191e-11 -1.537628600833951253e-10 4.029492017831870498e-11 1.820920497719313857e-10
1126259454.006835938 -5.112976231638755031e-11 1.554931183811447681e-10 -1.491472900044810146e-10 -6.527099832842608862e-10 5.439336602658384479e-10 1.419690226489578322e-09
1126259454.0078125 5.112039719486205502e-11 -5.818305906513110415e-13 -4.113186180543237924e-11 -1.61877442006463923e-10 4.212800681219208698e-11 1.911048402858384065e-10
1126259454.008789062 -5.111127666934667246e-11 1.462782603378620649e-10 -1.543964400774200385e-10 -6.563191518038635763e-10 5.500579262907034916e-10 1.425479914662908243e-09
1126259454.009765625 5.110191610147030161e-11 1.556949014158703903e-13 -4.278234710941575258e-11 -1.910556990392109356e-10 4.401443792767523178e-11 1.966114979157218556e-10
1126259454.010742188 -5.109257938604172544e-11 1.769187019107221204e-10 -1.472202880437034622e-10 -6.661156348730656873e-10 5.689779480899659347e-10 1.432550758573292171e-09
1126259454.01171875 5.108324375481532176e-11 -8.714140520282853686e-13 -4.333912395626526859e-11 -1.961791007420998767e-10 4.161482269893213015e-11 2.246868732735940455e-10
1126259454.012695312 -5.107395496112276945e-11 1.589602477425344773e-10 -1.598019494508662319e-10 -7.089422469214179401e-10 5.475949416133829573e-10 1.442733599255063837e-09
1126259454.013671875 5.106472536486883484e-11 -1.883881939335196876e-12 -4.245143125913841686e-11 -2.050150188503963022e-10 3.723771291319621923e-11 2.199186527329644036e-10
1126259454.014648438 -5.105533530669337239e-11 1.650304337630359441e-10 -1.487744094585963239e-10 -6.94470307649464047e-10 5.555999965656255313e-10 1.448660899572296046e-09
1126259454.015625 5.104608315903425009e-11 -3.543554338847343388e-13 -3.308134322033140506e-11 -1.803234783714913192e-10 3.726424724348476047e-11 2.390631859139347171e-10
1126259454.016601562 -5.10366731515388139e-11 1.617563583078407419e-10 -1.485686157431942434e-10 -6.98167967883023266e-10 5.478038300754661805e-10 1.443793716526808879e-09
1126259454.017578125 5.102746003515790107e-11 -1.640465541186131304e-12 -3.472038628826723539e-11 -1.826869974741462954e-10 3.1607952366563552e-11 2.179360858445278382e-10
1126259454.018554688 -5.101812288604845591e-11 1.642918578959040588e-10 -1.450619485643400708e-10 -6.816885111948778331e-10 5.489516063938992829e-10 1.438837458900277255e-09
1126259454.01953125 5.100890196341190119e-11 -1.424027562535457037e-12 -3.40958511424460653e-11 -1.715285691261669854e-10 2.782726826744408299e-11 2.145741362369335548e-10
1126259454.020507812 -5.099953445664162643e-11 1.625451787057308195e-10 -1.476251534210382133e-10 -7.240619215309607171e-10 5.464588729436892223e-10 1.43130296070131946e-09
1126259454.021484375 5.099021205268172707e-11 -2.040805024972058845e-12 -3.277467880424822511e-11 -1.73233857814203418e-10 2.519506825393591498e-11 1.952731309984301333e-10
1126259454.022460938 -5.098103102868511982e-11 1.631710530580754437e-10 -1.407508276596303176e-10 -7.166739285358048051e-10 5.472152661556428654e-10 1.432371169590718196e-09
1126259454.0234375 5.097169387957567466e-11 -1.903179003281962878e-12 -3.100543433109947955e-11 -1.649749156729107824e-10 2.592840525617035041e-11 1.913858169166893219e-10
1126259454.024414062 -5.096230100247456374e-11 1.63940375164095542e-10 -1.388459906943861899e-10 -7.014254038706368988e-10 5.510679759734848915e-10 1.448907327450399407e-09
1126259454.025390625 5.095301828031417735e-11 -1.333138460735128206e-12 -3.007214616213005343e-11 -1.523710602135963654e-10 2.560265888185142558e-11 1.883197135559011581e-10
1126259454.026367188 -5.094362084956394199e-11 1.667824003903639607e-10 -1.380672798312332361e-10 -6.770992100335604391e-10 5.589196744315572118e-10 1.454969953545992567e-09
1126259454.02734375 5.093431926228575435e-11 -1.106281732887737235e-12 -2.905444287937264392e-11 -1.473034541565887423e-10 2.568373291822467763e-11 1.835622487345034415e-10
