#time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1186302512 4.979980769456951703e-18 -1.812187944680070542e-13 -3.778982178824993176e-11 -2.271516234490723724e-10 2.96596802956011089e-11 2.323096314440587776e-10
1186302512.000976562 1.268516541808040188e-17 2.653538922880310791e-11 -3.942102263111008087e-10 -1.014304886839977916e-09 4.81897184645679183e-10 1.234123068604049689e-09
1186302512.001953125 1.019150042136374168e-17 -5.054477615531322021e-13 -3.592362594461578906e-11 -1.681869052664805575e-10 2.928784179154902967e-11 2.090304011695756636e-10
1186302512.002929688 -2.688821387764050996e-17 2.924953226672577511e-11 -3.861634866042518155e-10 -9.883164393213045296e-10 4.739306940599805062e-10 1.20377432132577622e-09
1186302512.00390625 1.22514845490862001e-17 -4.59220714840030686e-13 -3.42771776674216655e-11 -1.589705196907570395e-10 2.810701167253390476e-11 2.026921201410750162e-10
1186302512.004882812 2.691531893195264757e-17 2.925546361155079156e-11 -3.851129350314341782e-10 -9.770936471216202374e-10 4.751804508684384643e-10 1.195461993991082245e-09
1186302512.005859375 8.673617379884035472e-18 -4.735928988384985328e-13 -3.357343636228252853e-11 -1.514754984855218312e-10 2.753064724976550526e-11 1.941323757564256125e-10
1186302512.006835938 2.092510192897023558e-17 2.926126338844217689e-11 -3.837940583287062501e-10 -9.680079308114521164e-10 4.752767044941680341e-10 1.195135843805664178e-09
1186302512.0078125 -1.59919820441611904e-17 -4.274635793987194288e-13 -3.321178602315802419e-11 -1.464857775010375285e-10 2.738944140934229665e-11 1.880354171793132551e-10
1186302512.008789062 -3.144186300207962859e-17 2.926718275283318738e-11 -3.82870578991001409e-10 -9.615603085901675007e-10 4.753730440971298821e-10 1.195377548411213214e-09
1186302512.009765625 5.529431079676072613e-18 -4.067967750848167086e-13 -3.237132003425235993e-11 -1.429246853246884941e-10 2.725252293798996472e-11 1.848554490903320247e-10
1186302512.010742188 1.170938346284344789e-17 2.927315746574510325e-11 -3.82166832034458448e-10 -9.606958610520934666e-10 4.741600701348635746e-10 1.195619333898244319e-09
1186302512.01171875 -1.311884628707460365e-17 -4.524608227148008144e-13 -3.209149699451296911e-11 -1.399931907254832984e-10 2.710694949753511551e-11 1.822258141907437401e-10
1186302512.012695312 9.649399335120989463e-18 2.927900760382740053e-11 -3.802824645893904121e-10 -9.593877027991477846e-10 4.725710576981498323e-10 1.195861228401803866e-09
1186302512.013671875 5.637851296924623057e-18 -5.144247115958233696e-13 -3.148864381860485423e-11 -1.374975358450856305e-10 2.708972943969017999e-11 1.784031665344291973e-10
1186302512.014648438 1.702197410802241961e-17 2.928492864873177837e-11 -3.779334442513375414e-10 -9.563530749116290475e-10 4.710339763093311649e-10 1.196103171843538975e-09
1186302512.015625 -7.806255641895631925e-18 -4.490033019867445407e-13 -3.12725251510465041e-11 -1.35321489799257455e-10 2.660114074409239068e-11 1.745663135528305321e-10
1186302512.016601562 3.361026734705063745e-18 2.929085923461527408e-11 -3.759052908357263245e-10 -9.561929941413749301e-10 4.697127544773041508e-10 1.1963452368649952e-09
1186302512.017578125 8.673617379884035472e-19 -4.473073387384340904e-13 -3.135862652447335419e-11 -1.333898692456453317e-10 2.63537283900876218e-11 1.727015104817548885e-10
1186302512.018554688 1.39862080250630072e-17 2.881633668662397785e-11 -3.754772130151393106e-10 -9.530015734893204638e-10 4.685566676950088383e-10 1.196587420511721622e-09
1186302512.01953125 2.775557561562891351e-17 -4.473855097150702953e-13 -3.120765348614898405e-11 -1.316512315287753088e-10 2.626856935097898749e-11 1.710206266425200183e-10
1186302512.020507812 -3.642919299551294898e-17 2.835617396272638313e-11 -3.744095786715768287e-10 -9.512098826701745335e-10 4.675308197229013918e-10 1.196829628783389887e-09
1186302512.021484375 -2.818925648462311528e-17 -4.507326044518589203e-13 -3.062351067173452179e-11 -1.300687845189746339e-10 2.618333208668360834e-11 1.697400602777669743e-10
1186302512.022460938 -4.553649124439118623e-18 2.793947321763634584e-11 -3.728318224895804667e-10 -9.492792172309137341e-10 4.67514987118576586e-10 1.197071993234381099e-09
1186302512.0234375 1.452830911130575942e-17 -4.422466082579235014e-13 -3.035573089551699133e-11 -1.29111653660030079e-10 2.625796455268947227e-11 1.7024119603175486e-10
1186302512.024414062 -1.322726650432315409e-17 2.755857667719949222e-11 -3.715854406940652388e-10 -9.482537747639713244e-10 4.662084867462779059e-10 1.197314401866610839e-09
1186302512.025390625 9.540979117872439019e-18 -4.405515665814596638e-13 -3.036824979853192108e-11 -1.271200974887511104e-10 2.611628795168297046e-11 1.699720752600802909e-10
1186302512.026367188 -2.721347452938616129e-17 2.720766998200521702e-11 -3.714092546697449898e-10 -9.484467656780196099e-10 4.650174050620410615e-10 1.19755694483148975e-09
1186302512.02734375 -1.615461237003401607e-17 -3.907266762741279376e-13 -2.991529669382070322e-11 -1.252564289268287556e-10 2.59276055486479251e-11 1.683088217407924247e-10
1186302512.028320312 -8.023096076392732812e-18 2.688245942039993452e-11 -3.714847673723896404e-10 -9.486396976114697122e-10 4.64319918830943118e-10 1.197799534037591318e-09
1186302512.029296875 1.843143693225357538e-18 -3.889458471007661844e-13 -2.9804036408981327e-11 -1.235030197278526656e-10 2.584220559981656451e-11 1.66751111183027767e-10
1186302512.030273438 7.047314121155778821e-18 2.665586154582122447e-11 -3.715603258825760785e-10 -9.488327695154202823e-10 4.636761475262322213e-10 1.198042242966717782e-09
