time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1238782693 1.95187511986549822e-10 1.060122033560984001e-10 4.224856922641073709e-11 -4.32565327253026726e-11 1.816324316193830828e-10 3.338315405360114951e-10
1238782693.000976562 -1.951702415133038659e-10 -1.061684451290900721e-10 -1.819308800832253326e-10 -3.354683406064928874e-10 -4.230604365093593167e-11 4.322932420017244759e-11
1238782693.001953125 1.951529285393327484e-10 1.061784167533108558e-10 4.229726291438140606e-11 -4.325422639807775131e-11 1.818933198505234827e-10 3.353326765570541212e-10
1238782693.002929688 -1.951355528984760612e-10 -1.059839828745912094e-10 -1.816778130328970608e-10 -3.353029741880175774e-10 -4.226075826091468812e-11 4.325782452743775754e-11
1238782693.00390625 1.951183379363813364e-10 1.061982845412812182e-10 4.227983328025652909e-11 -4.326139600955204173e-11 1.818182271406953987e-10 3.35273231052979348e-10
1238782693.004882812 -1.951010637768479938e-10 -1.062083051714401982e-10 -1.81780729358038684e-10 -3.354683807219732694e-10 -4.227104083431854065e-11 4.324516309286985383e-11
1238782693.005859375 1.950837651143455531e-10 1.062182608578890464e-10 4.227300714337856036e-11 -4.326849821309790279e-11 1.817432176975941616e-10 3.352137092210716318e-10
1238782693.006835938 -1.950664456351614007e-10 -1.059463749369937702e-10 -1.817056782815740235e-10 -3.351839500398412497e-10 -4.225355048487200449e-11 4.327209736611069331e-11
1238782693.0078125 1.950491781976815275e-10 1.063467467738277687e-10 4.240031242774833231e-11 -4.325706806640461366e-11 1.822052977246135796e-10 3.354683666273450271e-10
1238782693.008789062 -1.950318999181799295e-10 -1.059275792081315615e-10 -1.816374169127943361e-10 -3.351244160648692016e-10 -4.223610523823584373e-11 4.327919511067944011e-11
1238782693.009765625 1.950146537310626371e-10 1.062580665817103309e-10 4.228929619681798258e-11 -4.328280411021426335e-11 1.81783749952795101e-10 3.35094696782278767e-10
1238782693.010742188 -1.949973565864432379e-10 -1.062680711656771582e-10 -1.817989346643332812e-10 -3.354684006712932431e-10 -4.229335891919872026e-11 4.326897726832784619e-11
1238782693.01171875 1.949800377577803889e-10 1.063467484693980463e-10 4.241625280176908319e-11 -4.327292723368264538e-11 1.821403913110364314e-10 3.354683481959080948e-10
1238782693.012695312 -1.94962755141470101e-10 -1.062880044394587387e-10 -1.818291750970893187e-10 -3.354683848419415249e-10 -4.230148891760932006e-11 4.327687774113853081e-11
1238782693.013671875 1.949454677546702541e-10 1.063467351197124431e-10 4.242425768324897817e-11 -4.328086847249502838e-11 1.821079502473121892e-10 3.35468373566238931e-10
1238782693.014648438 -1.949281925109347391e-10 -1.063079598309646379e-10 -1.818986573778186289e-10 -3.354683059120233679e-10 -4.230961588025383691e-11 4.328487113007539744e-11
1238782693.015625 1.949108409393662811e-10 1.063178781124385353e-10 4.231366645957024275e-11 -4.330412759156977567e-11 1.819421991539060812e-10 3.349161278171086664e-10
1238782693.016601562 -1.948936593706984688e-10 -1.063279729020261133e-10 -1.819857357258231056e-10 -3.354684297279114658e-10 -4.231768754858755699e-11 4.329275447249175679e-11
1238782693.017578125 1.948763346873438884e-10 1.06346716965182273e-10 4.244014514820371176e-11 -4.329675246800279709e-11 1.820430533747141588e-10 3.354683497137911363e-10
1238782693.018554688 -1.948590442647779586e-10 -1.058335398484988588e-10 -1.819199934300819801e-10 -3.348268988456748474e-10 -4.214865435836490093e-11 4.331482928084523334e-11
1238782693.01953125 1.948417564442972427e-10 1.063577940996207616e-10 4.244814395815144081e-11 -4.33046497966271815e-11 1.821163636561706767e-10 3.354683822398563109e-10
