time median 50%_lower 50%_upper 90%_lower 90%_upper
0 0.000724725 0.00052971 0.000894769 -0.000137046 0.00122491
0.000976562 -0.000360731 -0.000577829 -0.000136162 -0.000886163 0.00038097
0.00195312 -0.000379161 -0.000550136 -0.000223431 -0.000924323 0.000289024
0.00292969 0.000636409 0.000431323 0.000812265 -0.000287742 0.00114792
0.00390625 7.25807e-05 -0.000106411 0.000265745 -0.000491263 0.000666724
0.00488281 -0.00070585 -0.000879162 -0.000515499 -0.00121049 0.00013829
0.00585938 0.000418438 0.000194726 0.000625491 -0.000332597 0.000929908
0.00683594 0.000392121 0.000213051 0.000579897 -0.000304283 0.000956179
0.0078125 -0.000597931 -0.000784302 -0.000386474 -0.00112385 0.000293924
0.00878906 -8.39908e-05 -0.000257267 8.01937e-05 -0.000659612 0.000467492
0.00976562 0.000744512 0.000549773 0.000915025 -0.000112183 0.00124837
0.0107422 -0.000429576 -0.000679262 -0.000173451 -0.00100082 0.0003283
0.0117188 -0.000377768 -0.000534811 -0.000223655 -0.000929758 0.000315609
0.0126953 0.000590364 0.000403595 0.000753683 -0.000295145 0.00111711
0.0136719 8.55275e-05 -0.00010708 0.000293483 -0.000491232 0.000695732
0.0146484 -0.000788274 -0.000970196 -0.000577194 -0.00130347 6.9458e-05
0.015625 0.000438144 0.000218966 0.000646067 -0.00030902 0.000959368
0.0166016 0.000331727 0.000145953 0.000528272 -0.000356806 0.000934577
0.0175781 -0.000614213 -0.00080387 -0.000391347 -0.00114712 0.000283333
0.0185547 -0.000132972 -0.000311685 3.33552e-05 -0.000712436 0.000433269
0.0195312 0.000767685 0.000571659 0.000942686 -8.77796e-05 0.00127834
0.0205078 -0.000503726 -0.000753087 -0.000245707 -0.00107829 0.000270136
0.0214844 -0.000383202 -0.000551406 -0.000210041 -0.000951203 0.000330217
0.0224609 0.000564923 0.000372786 0.000734756 -0.000297753 0.00110951
0.0234375 8.96372e-05 -9.21528e-05 0.000288454 -0.00047793 0.000689665
0.0244141 -0.000833468 -0.00101957 -0.000622064 -0.00135469 4.43411e-05
0.0253906 0.000482849 0.000242992 0.000715967 -0.000271646 0.00104384
0.0263672 0.000327637 0.000154658 0.000504607 -0.000354611 0.000923586
0.0273438 -0.000619841 -0.000792008 -0.000417754 -0.00116021 0.00026757
0.0283203 -0.000115701 -0.000321772 7.29885e-05 -0.000725515 0.000464752
0.0292969 0.000812552 0.00060662 0.000989261 -5.59218e-05 0.00132655
0.0302734 -0.00053962 -0.000766299 -0.000301487 -0.00109581 0.000224807
0.03125 -0.000353847 -0.000543479 -0.000156617 -0.00095468 0.000355669
0.0322266 0.00060587 0.000392577 0.000797699 -0.000256813 0.00116559
0.0332031 8.51034e-05 -8.29913e-05 0.000272437 -0.000478411 0.000677972
0.0341797 -0.000840317 -0.00102396 -0.000632718 -0.0013692 3.77078e-05
0.0351562 0.000541007 0.00027577 0.000796852 -0.0002357 0.00114659
0.0361328 0.000339367 0.000166365 0.000507989 -0.000364536 0.000920274
0.0371094 -0.000633195 -0.000800902 -0.00044085 -0.00118561 0.000230331
0.0380859 -5.68618e-05 -0.000289898 0.000148735 -0.000701313 0.000529389
0.0390625 0.000857517 0.00064279 0.00104283 -2.65807e-05 0.00138091
0.0400391 -0.000538252 -0.000755712 -0.000304813 -0.00108963 0.000217295
0.0410156 -0.000316416 -0.000515633 -0.00011083 -0.000929872 0.000387387
0.0419922 0.000676161 0.000450977 0.000877341 -0.000200495 0.00124588
0.0429688 6.04915e-05 -0.000121004 0.000255536 -0.000513279 0.000667783
0.0439453 -0.000815917 -0.000999725 -0.000616953 -0.00135171 5.28504e-05
0.0449219 0.000586916 0.000323385 0.000836308 -0.000197778 0.00118904
0.0458984 0.00036097 0.00017052 0.000542279 -0.000359882 0.000937295
0.046875 -0.000666539 -0.000849937 -0.000463281 -0.00123493 0.000188137
0.0478516 4.82759e-06 -0.000214741 0.00021543 -0.000625489 0.000592362
0.0488281 0.000846086 0.00063836 0.00103459 -4.01946e-05 0.00137883
0.0498047 -0.000555786 -0.000786915 -0.000313893 -0.00113674 0.000201095
0.0507812 -0.000308145 -0.000496947 -0.000107866 -0.000903426 0.000399345
0.0517578 0.000745739 0.00053119 0.000939416 -0.000133761 0.00131242
0.0527344 6.15176e-06 -0.000207241 0.000227009 -0.000586541 0.000637569
0.0537109 -0.000779528 -0.000955317 -0.000587078 -0.00131419 7.37606e-05
0.0546875 0.000606547 0.000362568 0.000833707 -0.000162456 0.00118263
0.0556641 0.000352989 0.000141 0.000550188 -0.000369527 0.000941359
0.0566406 -0.000733194 -0.000943453 -0.000510882 -0.00131735 0.000137363
0.0576172 6.15475e-05 -0.000141132 0.000261628 -0.000550239 0.000630719
0.0585938 0.000779892 0.000584253 0.000967291 -8.06617e-05 0.00133829
