time median 50%_lower 50%_upper 90%_lower 90%_upper
0 -8.23134e-05 -0.000163114 -3.35454e-05 -0.000371391 1.92244e-05
0.000976562 -4.11328e-05 -9.52088e-05 -3.42795e-06 -0.000217229 0.000143391
0.00195312 -5.19769e-05 -0.000118657 -2.36392e-06 -0.000268445 0.000234311
0.00292969 -8.23587e-05 -0.000163621 -3.29758e-05 -0.000372861 1.4446e-05
0.00390625 -4.88962e-05 -0.000110045 -9.53444e-06 -0.000251214 9.79779e-05
0.00488281 -3.7786e-05 -0.000102053 1.20406e-05 -0.000247091 0.000275887
0.00585938 -6.01171e-05 -0.000138527 -1.11038e-05 -0.000315385 8.34172e-05
0.00683594 -4.91012e-05 -0.000117294 -6.52222e-06 -0.000301577 6.93683e-05
0.0078125 -2.29341e-05 -8.18044e-05 3.15582e-05 -0.000218387 0.000312826
0.00878906 -4.17825e-05 -0.000109434 2.68876e-06 -0.00026917 0.000157409
0.00976562 -4.42989e-05 -0.000114031 -3.33439e-06 -0.000333846 7.15639e-05
0.0107422 -4.42918e-06 -5.82357e-05 4.65933e-05 -0.000188659 0.000223799
0.0117188 -1.03384e-05 -7.00608e-05 4.46156e-05 -0.000220569 0.000296009
0.0126953 -2.73348e-05 -9.20063e-05 5.87352e-06 -0.000303656 9.09174e-05
0.0136719 -9.51203e-07 -4.54741e-05 4.57329e-05 -0.000167342 0.000173629
0.0146484 1.20708e-05 -3.02496e-05 9.15613e-05 -0.000160673 0.000308552
0.015625 3.59077e-06 -4.48685e-05 4.65587e-05 -0.00022121 0.00015265
0.0166016 1.42543e-05 -3.23376e-05 6.08597e-05 -0.000183103 0.000173535
0.0175781 4.59355e-05 1.36465e-07 0.000126761 -9.86133e-05 0.000330755
0.0185547 2.5852e-05 -8.94094e-06 8.34244e-05 -0.000137783 0.000195505
0.0195312 1.91081e-05 -2.13495e-05 6.72219e-05 -0.000200756 0.000187835
0.0205078 5.65114e-05 8.57605e-06 0.000128077 -7.08833e-05 0.00029664
0.0214844 5.99909e-05 1.29876e-05 0.000136526 -7.47122e-05 0.000280657
0.0224609 3.65252e-05 -1.13906e-06 8.80789e-05 -0.000196833 0.000219016
0.0234375 6.90714e-05 2.06095e-05 0.00013514 -9.157e-05 0.000283625
0.0244141 8.3056e-05 3.22217e-05 0.000163143 -3.73079e-05 0.000322801
0.0253906 4.38825e-05 4.51518e-06 9.91895e-05 -0.00014757 0.000231908
0.0263672 4.92114e-05 -2.64037e-06 0.000114274 -0.000209509 0.00026441
0.0273438 7.50562e-05 2.4644e-05 0.000156286 -4.6197e-05 0.000335172
0.0283203 4.81738e-05 8.50644e-06 0.000109644 -0.000114872 0.000242185
0.0292969 4.0998e-05 -5.45631e-06 0.000105659 -0.000231031 0.000253009
0.0302734 6.51536e-05 1.36671e-05 0.00014437 -0.000119745 0.000327239
0.03125 5.81623e-05 1.48544e-05 0.000127143 -6.58177e-05 0.000263222
0.0322266 2.90007e-05 -2.31276e-05 9.00793e-05 -0.000254805 0.000238883
0.0332031 4.61096e-05 -4.66545e-07 0.000114583 -0.000195856 0.000278204
0.0341797 4.53863e-05 4.21224e-06 0.000112312 -7.49724e-05 0.000255017
0.0351562 3.8117e-06 -3.83561e-05 5.93851e-05 -0.000203195 0.000206709
0.0361328 3.82955e-06 -4.63491e-05 6.43835e-05 -0.000306086 0.000211249
0.0371094 1.70699e-05 -1.58156e-05 7.92921e-05 -0.000109036 0.000224306
0.0380859 -1.26393e-06 -4.20191e-05 4.73609e-05 -0.000180019 0.000184611
0.0390625 -3.89234e-06 -7.72991e-05 4.01756e-05 -0.000281136 0.000174657
0.0400391 5.63767e-06 -3.77065e-05 5.52619e-05 -0.000172564 0.000196839
0.0410156 -4.34739e-06 -4.83425e-05 4.45349e-05 -0.000167096 0.000188637
0.0419922 -3.59186e-05 -0.000113787 6.93219e-06 -0.000278661 0.00012259
0.0429688 -2.07949e-05 -8.52383e-05 1.64138e-05 -0.00024215 0.000140909
0.0439453 -1.42723e-05 -6.15293e-05 2.50837e-05 -0.00017909 0.000159984
0.0449219 -4.68262e-05 -0.000114219 -1.48285e-06 -0.000252357 0.000106437
0.0458984 -5.56097e-05 -0.000137699 -1.03987e-05 -0.000310691 9.13002e-05
0.046875 -3.95346e-05 -9.10095e-05 -3.08597e-06 -0.000218548 0.000126688
0.0478516 -6.09672e-05 -0.000127295 -1.12208e-05 -0.000267331 0.000145458
0.0488281 -7.0166e-05 -0.000155098 -1.86294e-05 -0.000302681 7.81797e-05
0.0498047 -3.97017e-05 -9.7018e-05 -2.03474e-06 -0.000236273 8.65944e-05
0.0507812 -5.0539e-05 -0.00011638 1.75987e-06 -0.000262847 0.000248742
0.0517578 -7.72894e-05 -0.000157671 -2.54518e-05 -0.000301124 7.71252e-05
0.0527344 -6.06581e-05 -0.000129044 -2.05788e-05 -0.000276204 5.82144e-05
0.0537109 -5.22996e-05 -0.0001187 -5.03311e-06 -0.00026643 0.000244984
0.0546875 -6.45972e-05 -0.000139461 -1.14607e-05 -0.000287102 0.000151591
0.0556641 -6.34576e-05 -0.000140169 -1.77804e-05 -0.000297223 6.60047e-05
0.0566406 -3.31605e-05 -0.000100593 1.35458e-05 -0.000265923 0.000237001
0.0576172 -3.74411e-05 -0.000106204 9.91873e-06 -0.000252236 0.000246387
0.0585938 -4.46028e-05 -0.000117201 9.63565e-07 -0.000269246 0.00011045
0.0595703 -1.09229e-05 -7.44837e-05 2.98319e-05 -0.000258496 0.000167463
0.0605469 -1.46714e-05 -7.66274e-05 3.83929e-05 -0.00022161 0.000341493
0.0615234 -3.29226e-05 -9.48635e-05 1.77667e-06 -0.000232859 0.000149261
0.0625 -1.11927e-05 -6.96543e-05 2.52989e-05 -0.000245065 0.000131596
0.0634766 -1.23109e-07 -4.91447e-05 7.22438e-05 -0.000192706 0.000330195
0.0644531 1.04157e-06 -4.63598e-05 4.87297e-05 -0.000169514 0.000230587
0.0654297 6.86551e-06 -5.13223e-05 4.92765e-05 -0.000229181 0.00015361
0.0664062 3.37705e-05 -1.06207e-05 0.00011222 -0.000171757 0.000305794
0.0673828 2.73823e-05 -8.36015e-06 9.71313e-05 -0.000107944 0.000290315
0.0683594 1.57723e-05 -2.82699e-05 6.41785e-05 -0.000199816 0.000193056
0.0693359 4.36839e-05 -2.09774e-06 0.00011344 -0.000184447 0.000247845
0.0703125 5.53124e-05 8.18301e-06 0.000142848 -6.80618e-05 0.000332283
0.0712891 3.29786e-05 -2.66349e-06 8.879e-05 -0.000160171 0.000252057
0.0722656 5.36051e-05 3.81475e-06 0.000117393 -0.0002059 0.000249362
0.0732422 7.63525e-05 2.51397e-05 0.000163845 -5.46495e-05 0.000321827
0.0742188 4.89275e-05 9.36194e-06 0.000112193 -8.58718e-05 0.000318252
0.0751953 5.3562e-05 8.55038e-07 0.000116887 -0.000266827 0.000251847
0.0761719 7.82999e-05 2.71734e-05 0.000160358 -9.37961e-05 0.000308669
0.0771484 5.52522e-05 1.4402e-05 0.000125235 -5.30608e-05 0.000352754
0.078125 4.29904e-05 -4.26308e-06 0.000107134 -0.000265788 0.000249489
0.0791016 6.02913e-05 1.07908e-05 0.000132696 -0.000165248 0.000282872
0.0800781 6.45836e-05 1.94119e-05 0.000141362 -3.29006e-05 0.000346087
0.0810547 3.81537e-05 -8.00671e-06 0.000103707 -0.000254338 0.000274359
0.0820312 4.19641e-05 -3.53161e-06 0.000108601 -0.00025715 0.000251306
0.0830078 5.22271e-05 8.14956e-06 0.000123131 -5.70206e-05 0.000292975
0.0839844 1.54349e-05 -2.7518e-05 8.00544e-05 -0.00019142 0.00029205
0.0849609 1.15506e-05 -4.56822e-05 7.06811e-05 -0.000348704 0.000203001
0.0859375 3.1444e-05 -3.37266e-06 9.44689e-05 -0.000112222 0.000245361
0.0869141 6.89227e-06 -3.07732e-05 6.8062e-05 -0.000151844 0.000305039
0.0878906 -3.49368e-06 -7.5454e-05 4.20811e-05 -0.000325882 0.000164451
0.0888672 3.27241e-06 -3.45018e-05 5.30325e-05 -0.000197658 0.000181942
0.0898438 -7.26478e-07 -3.95081e-05 5.7844e-05 -0.0001348 0.000282679
0.0908203 -2.37331e-05 -9.9208e-05 1.68236e-05 -0.000291785 0.000144611
0.0917969 -1.92094e-05 -7.76795e-05 1.46492e-05 -0.000273338 0.000117876
0.0927734 -1.28433e-05 -5.77138e-05 3.43474e-05 -0.000157918 0.000223322
0.09375 -4.57245e-05 -0.000112676 -4.02038e-07 -0.000240952 0.000159599
0.0947266 -5.59572e-05 -0.00013062 -1.08897e-05 -0.000340834 5.87251e-05
0.0957031 -2.9121e-05 -8.00295e-05 8.84344e-06 -0.000204619 0.000160397
0.0966797 -5.02845e-05 -0.000110251 -3.58208e-06 -0.00023747 0.00017767
0.0976562 -7.50292e-05 -0.000150478 -2.62264e-05 -0.000340757 2.62407e-05
0.0986328 -4.91906e-05 -0.000110588 -9.38229e-06 -0.000287968 8.78709e-05
0.0996094 -5.22892e-05 -0.000112869 -5.15986e-06 -0.000248725 0.000223122
0.100586 -8.11444e-05 -0.000154032 -3.50996e-05 -0.000308927 2.34644e-05
0.101562 -6.16668e-05 -0.000131915 -2.19582e-05 -0.000355982 6.07637e-05
0.102539 -4.53306e-05 -0.000106012 1.70143e-06 -0.000238501 0.000236564
0.103516 -5.51392e-05 -0.000124668 -8.70729e-06 -0.00027717 0.000122434
0.104492 -5.29017e-05 -0.000125403 -9.58487e-06 -0.000374137 5.2787e-05
0.105469 -2.78053e-05 -8.75565e-05 1.67635e-05 -0.000219149 0.000217654
0.106445 -3.71919e-05 -0.000101996 8.84719e-06 -0.000253181 0.000206645
0.107422 -5.44497e-05 -0.000124763 -1.11238e-05 -0.00036276 6.80436e-05
