time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1242107472 1.539567084929416296e-17 -8.673617379884035472e-19 -9.107298248878237246e-18 -2.125036258071588691e-17 8.673617379884035472e-18 2.190088388420718957e-17
1242107472.000976562 8.456776945386934585e-18 -1.084202172485504434e-18 -1.092333688779145717e-17 -2.47198095326695011e-17 8.565197162635485029e-18 2.114194236346733646e-17
1242107472.001953125 4.987329993433320396e-18 2.385244779468109755e-18 -7.806255641895631925e-18 -2.385244779468109755e-17 1.344410693882025498e-17 3.339342691255353657e-17
1242107472.002929688 -2.775557561562891351e-17 8.348356728138384142e-18 -4.77048955893621951e-18 -2.645453300864630819e-17 2.038300084272748336e-17 4.488596994089988357e-17
1242107472.00390625 -2.396086801192964799e-17 7.806255641895631925e-18 -3.686287386450715076e-18 -2.125036258071588691e-17 1.864827736675067626e-17 3.903127820947815962e-17
1242107472.004882812 3.718813451625280209e-17 -1.951563910473907981e-18 -1.214306433183764966e-17 -2.905661822261151883e-17 7.806255641895631925e-18 2.406928822917819843e-17
1242107472.005859375 9.540979117872439019e-18 3.686287386450715076e-18 -8.456776945386934585e-18 -2.775557561562891351e-17 1.582935171828836474e-17 3.577867169202164632e-17
1242107472.006835938 -1.019150042136374168e-17 8.673617379884035472e-19 -1.301042606982605321e-17 -3.426078865054194011e-17 1.431146867680865853e-17 3.686287386450715076e-17
1242107472.0078125 -1.940721888749052937e-17 3.035766082959412415e-18 -6.505213034913026604e-18 -1.951563910473907981e-17 1.127570259384924611e-17 2.62376925741492073e-17
1242107472.008789062 1.322726650432315409e-17 -3.469446951953614189e-18 -1.431146867680865853e-17 -3.12250225675825277e-17 7.372574772901430151e-18 2.406928822917819843e-17
1242107472.009765625 1.485356976305141075e-17 -3.469446951953614189e-18 -1.582935171828836474e-17 -3.491130995403324278e-17 6.938893903907228378e-18 2.558717127065790464e-17
1242107472.010742188 2.482822974991805154e-17 -1.517883041479706208e-18 -1.214306433183764966e-17 -2.949029909160572061e-17 7.589415207398531038e-18 2.645453300864630819e-17
1242107472.01171875 5.312590645178971727e-18 4.336808689942017736e-19 -9.974659986866640793e-18 -2.667137344314340908e-17 1.019150042136374168e-17 2.710505431213761085e-17
