
time median 50%_lower 50%_upper 90%_lower 90%_upper
0 2.42745e-09 -1.87144e-07 2.93396e-07 -0.000417215 0.000284304
0.000976562 2.95837e-09 -9.07524e-08 4.01379e-07 -0.000266006 0.000356636
0.00195312 1.54168e-09 -4.35126e-07 2.25486e-07 -0.000378863 0.000217836
0.00292969 4.3679e-09 -1.17664e-08 1.20301e-06 -0.000198165 0.000442718
0.00390625 7.94904e-10 -7.86029e-07 1.85091e-07 -0.000400532 0.000185202
0.00488281 2.0931e-09 -6.14861e-08 5.14746e-07 -0.000286813 0.000391192
0.00585938 2.22209e-09 -9.88902e-08 4.20367e-07 -0.000330617 0.000263029
0.00683594 3.57158e-09 -3.52225e-08 7.59569e-07 -0.000228242 0.000350136
0.0078125 1.1785e-09 -6.28799e-07 2.12254e-07 -0.00041395 0.000220474
0.00878906 4.1493e-09 -2.78409e-08 9.50694e-07 -0.000199395 0.000367574
0.00976562 2.08399e-09 -1.41582e-07 3.89365e-07 -0.000364773 0.000301181
0.0107422 1.74706e-09 -1.56323e-07 3.79447e-07 -0.000266502 0.000305598
0.0117188 1.27681e-09 -2.77035e-07 2.95976e-07 -0.000319971 0.000257354
0.0126953 2.70165e-09 -4.7472e-08 8.39095e-07 -0.000243941 0.000377795
0.0136719 1.03839e-09 -3.11216e-07 2.8443e-07 -0.000319415 0.000230911
0.0146484 1.68307e-09 -1.4972e-07 4.30401e-07 -0.000319519 0.000334914
0.015625 2.16151e-09 -9.94342e-08 5.81597e-07 -0.000268205 0.000282556
0.0166016 2.04983e-09 -9.84826e-08 6.13481e-07 -0.000283645 0.000303105
0.0175781 7.39355e-10 -3.30936e-07 2.93653e-07 -0.000345789 0.000279464
0.0185547 1.60822e-09 -1.28926e-07 5.3213e-07 -0.000254471 0.000287381
0.0195312 1.38118e-09 -1.47976e-07 5.26526e-07 -0.000303518 0.000351411
0.0205078 5.16776e-10 -3.23433e-07 2.90874e-07 -0.000296711 0.000249477
0.0214844 7.66101e-10 -2.41853e-07 3.35454e-07 -0.000286301 0.000325959
0.0224609 1.38009e-09 -1.51614e-07 5.40759e-07 -0.000315536 0.000315138
0.0234375 8.61605e-10 -2.10481e-07 4.07486e-07 -0.000248228 0.000292672
0.0244141 1.77984e-10 -3.498e-07 2.539e-07 -0.000383896 0.000275076
0.0253906 1.26426e-09 -1.32573e-07 6.64476e-07 -0.000223928 0.000317008
0.0263672 3.19822e-10 -2.37001e-07 3.61113e-07 -0.000344791 0.00028069
0.0273438 -7.77266e-11 -2.86219e-07 2.92815e-07 -0.000293846 0.000351864
0.0283203 -4.6142e-10 -3.35472e-07 2.2668e-07 -0.000325287 0.000226501
0.0292969 4.77071e-10 -1.60529e-07 6.44683e-07 -0.000251232 0.000419997
0.0302734 -1.53691e-09 -5.7616e-07 1.21231e-07 -0.000335224 0.000204082
0.03125 -6.1609e-10 -2.49634e-07 3.34328e-07 -0.000273407 0.000380247
0.0322266 -1.18221e-09 -3.18567e-07 2.41135e-07 -0.000376703 0.000282574
0.0332031 -8.18918e-10 -2.26599e-07 4.62129e-07 -0.000207262 0.000361614
0.0341797 -2.69617e-09 -6.71362e-07 6.80602e-08 -0.000444143 0.000241558
0.0351562 -7.66103e-10 -1.79e-07 7.4792e-07 -0.000188392 0.000353497
0.0361328 -2.6267e-09 -4.57252e-07 1.04778e-07 -0.000391236 0.000272509
0.0371094 -2.12046e-09 -3.14203e-07 2.36037e-07 -0.000274791 0.000400575
0.0380859 -3.61367e-09 -6.37437e-07 5.13319e-08 -0.000379693 0.000194013
0.0390625 -1.44425e-09 -2.15438e-07 7.60223e-07 -0.000223063 0.000477116
0.0400391 -5.18454e-09 -9.23803e-07 1.81333e-08 -0.000376932 0.000179139
0.0410156 -2.52655e-09 -3.20754e-07 2.79041e-07 -0.000276677 0.000414123
0.0419922 -4.36629e-09 -6.07638e-07 5.04775e-08 -0.000415501 0.000265136
0.0429688 -2.56759e-09 -2.92653e-07 4.27611e-07 -0.000182611 0.000401355
0.0439453 -6.86319e-09 -1.06255e-06 1.02039e-08 -0.000499972 0.000203099
0.0449219 -2.32626e-09 -2.56425e-07 6.76485e-07 -0.000176045 0.000402396
0.0458984 -5.1713e-09 -7.19501e-07 2.75857e-08 -0.000425371 0.000278723
0.046875 -3.28038e-09 -3.84421e-07 2.21158e-07 -0.000265959 0.000427241
0.0478516 -6.50214e-09 -1.00287e-06 1.62045e-08 -0.000419048 0.000175443
0.0488281 -2.58007e-09 -2.82979e-07 7.04977e-07 -0.000195832 0.00052212
0.0498047 -8.58673e-09 -1.40754e-06 7.95677e-09 -0.000421425 0.000171758
0.0507812 -3.23234e-09 -3.9374e-07 2.39512e-07 -0.000285146 0.000429427
0.0517578 -5.50415e-09 -8.79902e-07 3.14305e-08 -0.000431499 0.00026882
0.0527344 -2.7588e-09 -3.29762e-07 4.48893e-07 -0.000175532 0.000426624
0.0537109 -7.71067e-09 -1.47553e-06 1.20085e-08 -0.000533989 0.000191667
0.0546875 -2.0272e-09 -2.91403e-07 8.02491e-07 -0.000173467 0.000427053
0.0556641 -5.01446e-09 -9.13663e-07 4.23726e-08 -0.000427514 0.000285617
0.0566406 -2.6744e-09 -4.38832e-07 2.54876e-07 -0.000279049 0.000424599
0.0576172 -5.31476e-09 -1.25478e-06 3.0908e-08 -0.000413291 0.000176204
0.0585938 -1.49335e-09 -2.89156e-07 7.53407e-07 -0.00019741 0.000534742
0.0595703 -5.61674e-09 -1.65883e-06 2.67937e-08 -0.000433529 0.000174798
0.0605469 -1.91621e-09 -4.48314e-07 2.96918e-07 -0.000295337 0.000414588
