time, amp_cwb_rec, amp_post_median, amp_post_lower_50_cr, amp_post_lower_90_cr, amp_post_upper_50_cr, amp_post_upper_90_cr
1249852247 -1.387778780781445676e-17 0 -2.775557561562891351e-17 -8.326672684688674053e-17 2.775557561562891351e-17 6.938893903907228378e-17
1249852247.000976562 -7.632783294297951215e-17 0 -2.775557561562891351e-17 -7.285838599102589797e-17 2.775557561562891351e-17 8.326672684688674053e-17
1249852247.001953125 -6.938893903907228378e-18 0 -2.775557561562891351e-17 -9.714451465470119729e-17 2.949029909160572061e-17 9.714451465470119729e-17
1249852247.002929688 2.255140518769849223e-17 0 -2.775557561562891351e-17 -7.632783294297951215e-17 2.775557561562891351e-17 8.326672684688674053e-17
1249852247.00390625 -2.775557561562891351e-17 0 -3.295974604355933479e-17 -9.020562075079396891e-17 2.775557561562891351e-17 8.326672684688674053e-17
1249852247.004882812 -1.387778780781445676e-17 0 -3.12250225675825277e-17 -9.714451465470119729e-17 2.775557561562891351e-17 9.020562075079396891e-17
1249852247.005859375 0 0 -1.387778780781445676e-17 -6.418476861114186249e-17 4.510281037539698445e-17 9.714451465470119729e-17
1249852247.006835938 -8.326672684688674053e-17 0 -2.775557561562891351e-17 -9.714451465470119729e-17 2.775557561562891351e-17 8.326672684688674053e-17
1249852247.0078125 5.551115123125782702e-17 0 -2.775557561562891351e-17 -9.020562075079396891e-17 4.163336342344337027e-17 1.11022302462515654e-16
1249852247.008789062 5.551115123125782702e-17 0 -2.775557561562891351e-17 -8.326672684688674053e-17 2.775557561562891351e-17 8.326672684688674053e-17
1249852247.009765625 0 0 -2.775557561562891351e-17 -8.326672684688674053e-17 4.163336342344337027e-17 1.11022302462515654e-16
1249852247.010742188 -2.775557561562891351e-17 0 -2.775557561562891351e-17 -8.326672684688674053e-17 2.775557561562891351e-17 8.326672684688674053e-17
1249852247.01171875 -2.775557561562891351e-17 0 -4.163336342344337027e-17 -8.326672684688674053e-17 0 5.551115123125782702e-17
1249852247.012695312 -5.551115123125782702e-17 0 -2.775557561562891351e-17 -8.326672684688674053e-17 2.775557561562891351e-17 6.938893903907228378e-17
1249852247.013671875 1.249000902703301108e-16 0 -2.775557561562891351e-17 -8.326672684688674053e-17 2.775557561562891351e-17 8.326672684688674053e-17
